SubjCodepre,Subject,Distraction,preInterested,preDistressed,preExcited,preUpset,preStrong,preGuilty,preScared,preHostile,preEnthusiastic,preProud,preIrritable,preAlert,preAshamed,preInspired,preNervous,preDetermined,preAttentive,preJittery,preActive,preAfraid,T1Interested,T1Distressed,T1Excited,T1Upset,T1Strong,T1Guilty,T1Scared,T1Hostile,T1Enthusiastic,T1Proud,T1Irritable,T1Alert,T1Ashamed,T1Inspired,T1Nervous,T1Determined,T1Attentive,T1Jittery,T1Active,T1Afraid,T2Interested,T2Distressed,T2Excited,T2Upset,T2Strong,T2Guilty,T2Scared,T2Hostile,T2Enthusiastic,T2Proud,T2Irritable,T2Alert,T2Ashamed,T2Inspired,T2Nervous,T2Determined,T2Attentive,T2Jittery,T2Active,T2Afraid,T3Interested,T3Distressed,T3Excited,T3Upset,T3Strong,T3Guilty,T3Scared,T3Hostile,T3Enthusiastic,T3Proud,T3Irritable,T3Alert,T3Ashamed,T3Inspired,T3Nervous,T3Determined,T3Attentive,T3Jittery,T3Active,T3Afraid
1,1,B,3,2,2,2,3,1,1,1,2,2,2,1,1,2,2,2,3,4,3,1,1,2,3,3,3,1,1,3,2,2,2,2,1,2,1,3,3,2,3,1,3,2,3,2,3,4,2,2,2,3,3,3,3,3,3,3,3,4,3,3,2,1,2,1,3,1,1,1,3,2,1,2,1,3,1,1,3,1,3,1
2,2,C,2,1,1,1,3,1,1,1,1,1,2,3,1,1,1,2,2,1,1,1,2,1,1,1,4,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,C,3,1,2,1,5,1,1,1,3,5,1,4,1,4,1,4,5,1,4,1,1,1,1,1,5,1,1,1,2,5,1,2,1,1,1,3,3,1,1,1,1,1,2,1,5,1,1,1,1,5,1,2,1,2,1,3,2,1,1,1,2,1,2,1,5,1,1,1,2,3,1,3,1,1,1,3,2,1,1,1
4,4,A,3,1,3,1,3,1,1,1,3,2,1,3,1,3,1,3,3,1,3,1,4,2,3,2,4,1,1,1,3,1,1,3,1,3,1,4,4,1,4,1,4,2,3,1,4,1,1,1,3,3,1,3,1,1,1,3,3,1,3,1,4,1,4,1,4,1,1,1,4,2,1,4,1,2,1,4,4,1,4,1
5,5,B,3,1,2,1,3,1,1,2,2,4,2,3,1,2,1,2,2,1,2,1,4,2,3,2,4,1,1,2,3,4,2,2,1,2,2,3,2,1,3,1,3,1,3,1,4,1,1,1,2,4,1,3,1,2,1,4,2,1,3,1,3,1,3,1,4,1,1,1,3,4,1,3,1,3,2,4,3,2,3,1
6,6,,2,2,3,1,3,1,1,1,3,3,2,2,1,2,1,3,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,3,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2,1,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1
7,7,,3,1,1,1,2,1,1,1,1,2,1,4,1,2,1,3,4,1,2,1,2,1,1,1,2,1,1,1,1,1,2,3,1,1,1,2,3,1,2,1,3,1,1,1,2,1,1,1,1,2,1,3,1,1,1,3,3,1,1,1,2,1,1,1,1,1,1,1,1,2,1,3,1,1,1,3,3,2,3,1
8,8,A,3,3,2,1,2,1,1,1,2,1,1,3,1,2,1,1,2,1,1,1,3,3,2,1,2,1,2,1,1,1,1,3,1,1,2,2,2,1,2,1,3,3,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,2,3,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1
9,9,B,2,1,2,1,5,1,1,1,3,4,1,4,1,3,2,4,4,4,5,1,3,1,3,2,5,1,1,3,2,5,1,4,1,1,1,3,4,3,3,1,4,1,3,1,5,1,2,1,4,5,1,4,1,4,2,5,5,4,5,1,3,1,4,1,8,2,1,2,4,4,1,3,2,2,3,4,4,4,3,1
10,10,B,2,1,3,1,2,1,2,1,3,3,1,3,1,2,3,3,3,1,3,1,4,2,1,3,2,1,1,2,1,2,3,4,1,1,2,4,4,1,4,1,2,3,1,2,2,2,3,1,1,1,2,3,1,1,4,2,2,2,2,4,4,1,4,1,2,1,1,1,4,2,1,3,1,2,1,3,4,1,3,1
11,11,C,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,3,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,4,1,1,2,1,3,1,1,1
12,12,A,3,1,2,1,2,1,1,1,2,2,1,3,1,2,3,4,3,2,2,1,1,2,1,3,1,1,1,3,1,1,3,3,3,1,2,4,2,1,1,1,1,4,1,3,1,1,3,1,1,1,2,2,2,1,4,1,2,3,1,4,4,1,2,1,1,1,1,1,3,1,2,2,1,2,2,3,3,1,2,1
13,13,A,3,2,2,1,4,1,1,1,2,3,1,4,1,3,1,4,4,1,4,1,1,4,1,4,4,1,1,1,1,1,5,5,1,2,1,5,5,1,4,1,1,1,1,1,5,1,1,1,1,1,1,5,1,3,1,4,4,1,4,1,2,1,1,1,3,1,1,1,2,4,1,4,1,2,1,3,4,1,4,1
14,14,B,4,1,3,1,4,1,2,1,4,3,2,4,1,1,3,4,4,3,4,2,3,2,2,2,4,1,1,2,2,4,3,5,1,1,3,3,3,3,3,2,3,3,2,3,2,1,3,1,1,1,1,4,2,1,4,4,4,4,2,4,2,1,2,1,2,1,1,1,3,3,2,3,1,1,1,3,3,1,4,1
15,15,B,3,2,4,1,2,3,1,1,3,2,2,2,2,3,2,2,3,1,2,1,2,3,2,3,2,2,2,2,1,2,3,3,3,1,2,3,3,1,1,2,2,4,2,3,1,3,3,1,1,1,2,2,3,2,4,2,2,2,2,3,2,1,2,1,1,2,1,1,3,2,2,2,2,1,2,3,2,2,2,1
16,16,C,4,1,2,1,3,1,1,1,3,1,1,4,1,2,1,4,4,1,3,1,3,3,1,4,3,1,1,2,1,1,5,3,1,1,1,4,3,1,2,1,1,5,1,3,1,3,3,1,1,1,3,3,2,1,5,3,3,4,1,3,2,2,2,2,1,1,1,1,1,1,3,3,1,1,1,1,2,1,1,1
17,17,B,4,2,4,1,3,1,2,1,3,1,2,4,1,4,2,4,4,2,3,2,5,1,2,2,3,1,1,2,3,2,2,3,1,3,1,4,3,1,3,2,4,1,4,2,4,2,1,1,3,4,1,4,2,3,1,4,4,1,3,1,3,1,3,1,4,1,1,1,4,4,2,3,1,3,1,4,4,2,4,1
